family,heuristic,file,num_qubits,runtime_sec,orig_cx,comp_cx,added_cx,depth,size
Bernstein-Vazirani,basic,Bernstein-Vazirani_10qubits_circuit0.qasm,10,0.004468250001082197,2,2,0,7,33
Bernstein-Vazirani,basic,Bernstein-Vazirani_10qubits_circuit1.qasm,10,0.0010232079948764294,3,3,0,8,35
Bernstein-Vazirani,basic,Bernstein-Vazirani_10qubits_circuit2.qasm,10,0.0010476660099811852,4,4,0,11,37
Bernstein-Vazirani,basic,Bernstein-Vazirani_15qubits_circuit0.qasm,15,0.0019387919746804982,9,9,0,21,62
Bernstein-Vazirani,basic,Bernstein-Vazirani_15qubits_circuit1.qasm,15,0.002190667000832036,8,8,0,19,60
Bernstein-Vazirani,basic,Bernstein-Vazirani_15qubits_circuit2.qasm,15,0.0019229169993195683,8,8,0,19,60
Bernstein-Vazirani,basic,Bernstein-Vazirani_20qubits_circuit0.qasm,20,0.0014638749998994172,5,5,0,12,69
Bernstein-Vazirani,basic,Bernstein-Vazirani_20qubits_circuit1.qasm,20,0.0024754579935688525,10,10,0,23,79
Bernstein-Vazirani,basic,Bernstein-Vazirani_20qubits_circuit2.qasm,20,0.0033151250099763274,14,14,0,30,87
Bernstein-Vazirani,basic,Bernstein-Vazirani_25qubits_circuit0.qasm,25,0.0027793750050477684,11,11,0,24,96
Bernstein-Vazirani,basic,Bernstein-Vazirani_25qubits_circuit1.qasm,25,0.003868375002639368,16,16,0,35,106
Bernstein-Vazirani,basic,Bernstein-Vazirani_25qubits_circuit2.qasm,25,0.002709583000978455,10,10,0,23,94
Bernstein-Vazirani,basic,Bernstein-Vazirani_30qubits_circuit0.qasm,30,0.0047702500014565885,17,17,0,37,123
Bernstein-Vazirani,basic,Bernstein-Vazirani_30qubits_circuit1.qasm,30,0.0035294590052217245,13,13,0,29,115
Bernstein-Vazirani,basic,Bernstein-Vazirani_30qubits_circuit2.qasm,30,0.004129375010961667,15,15,0,32,119
Bernstein-Vazirani,basic,Bernstein-Vazirani_5qubits_circuit0.qasm,5,0.000679749995470047,1,1,0,6,17
Bernstein-Vazirani,basic,Bernstein-Vazirani_5qubits_circuit1.qasm,5,0.0006566249940078706,1,1,0,6,17
Bernstein-Vazirani,basic,Bernstein-Vazirani_5qubits_circuit2.qasm,5,0.0007157920044846833,2,2,0,7,18
