family,heuristic,file,num_qubits,runtime_sec,orig_cx,comp_cx,added_cx,depth,size
Bernstein-Vazirani,decay,Bernstein-Vazirani_10qubits_circuit0.qasm,10,0.0007592499896418303,2,2,0,7,33
Bernstein-Vazirani,decay,Bernstein-Vazirani_10qubits_circuit1.qasm,10,0.0009875840041786432,3,3,0,8,35
Bernstein-Vazirani,decay,Bernstein-Vazirani_10qubits_circuit2.qasm,10,0.0009846249886322767,4,4,0,11,37
Bernstein-Vazirani,decay,Bernstein-Vazirani_15qubits_circuit0.qasm,15,0.002388124994467944,9,9,0,21,62
Bernstein-Vazirani,decay,Bernstein-Vazirani_15qubits_circuit1.qasm,15,0.002072500006761402,8,8,0,19,60
Bernstein-Vazirani,decay,Bernstein-Vazirani_15qubits_circuit2.qasm,15,0.0019262499990873039,8,8,0,19,60
Bernstein-Vazirani,decay,Bernstein-Vazirani_20qubits_circuit0.qasm,20,0.0016362919996026903,5,5,0,12,69
Bernstein-Vazirani,decay,Bernstein-Vazirani_20qubits_circuit1.qasm,20,0.002245665993541479,10,10,0,23,79
Bernstein-Vazirani,decay,Bernstein-Vazirani_20qubits_circuit2.qasm,20,0.004087874985998496,14,14,0,30,87
Bernstein-Vazirani,decay,Bernstein-Vazirani_25qubits_circuit0.qasm,25,0.002916666999226436,11,11,0,24,96
Bernstein-Vazirani,decay,Bernstein-Vazirani_25qubits_circuit1.qasm,25,0.0040346669848077,16,16,0,35,106
Bernstein-Vazirani,decay,Bernstein-Vazirani_25qubits_circuit2.qasm,25,0.0025292500213254243,10,10,0,23,94
Bernstein-Vazirani,decay,Bernstein-Vazirani_30qubits_circuit0.qasm,30,0.004842583002755418,17,17,0,37,123
Bernstein-Vazirani,decay,Bernstein-Vazirani_30qubits_circuit1.qasm,30,0.0037616670015268028,13,13,0,29,115
Bernstein-Vazirani,decay,Bernstein-Vazirani_30qubits_circuit2.qasm,30,0.0042410419846419245,15,15,0,32,119
Bernstein-Vazirani,decay,Bernstein-Vazirani_5qubits_circuit0.qasm,5,0.0005574579990934581,1,1,0,6,17
Bernstein-Vazirani,decay,Bernstein-Vazirani_5qubits_circuit1.qasm,5,0.0005445419810712337,1,1,0,6,17
Bernstein-Vazirani,decay,Bernstein-Vazirani_5qubits_circuit2.qasm,5,0.0006709579902235419,2,2,0,7,18
