family,heuristic,file,num_qubits,runtime_sec,orig_cx,comp_cx,added_cx,depth,size
Deutsch-Jozsa,basic,Deutsch-Jozsa_100qubits_circuit0.qasm,100,0.004513624997343868,0,0,0,6,302
Deutsch-Jozsa,basic,Deutsch-Jozsa_100qubits_circuit1.qasm,100,0.030195500003173947,99,99,0,203,597
Deutsch-Jozsa,basic,Deutsch-Jozsa_10qubits_circuit0.qasm,10,0.0005894579808227718,0,0,0,6,32
Deutsch-Jozsa,basic,Deutsch-Jozsa_10qubits_circuit1.qasm,10,0.0017910419846884906,9,9,0,23,57
Deutsch-Jozsa,basic,Deutsch-Jozsa_15qubits_circuit0.qasm,15,0.0006720840174239129,0,0,0,6,47
Deutsch-Jozsa,basic,Deutsch-Jozsa_15qubits_circuit1.qasm,15,0.003238083008909598,14,14,0,33,86
Deutsch-Jozsa,basic,Deutsch-Jozsa_20qubits_circuit0.qasm,20,0.000704332982422784,0,0,0,5,61
Deutsch-Jozsa,basic,Deutsch-Jozsa_20qubits_circuit1.qasm,20,0.004675834003137425,19,19,0,43,117
Deutsch-Jozsa,basic,Deutsch-Jozsa_25qubits_circuit0.qasm,25,0.000787957978900522,0,0,0,6,77
Deutsch-Jozsa,basic,Deutsch-Jozsa_25qubits_circuit1.qasm,25,0.005566249979892746,24,24,0,53,146
Deutsch-Jozsa,basic,Deutsch-Jozsa_30qubits_circuit0.qasm,30,0.0009125000215135515,0,0,0,6,92
Deutsch-Jozsa,basic,Deutsch-Jozsa_30qubits_circuit1.qasm,30,0.007391209015622735,29,29,0,62,177
Deutsch-Jozsa,basic,Deutsch-Jozsa_35qubits_circuit0.qasm,35,0.0010349999938625842,0,0,0,6,107
Deutsch-Jozsa,basic,Deutsch-Jozsa_35qubits_circuit1.qasm,35,0.008578499982832,34,34,0,73,206
Deutsch-Jozsa,basic,Deutsch-Jozsa_40qubits_circuit0.qasm,40,0.0011042080004699528,0,0,0,6,122
Deutsch-Jozsa,basic,Deutsch-Jozsa_40qubits_circuit1.qasm,40,0.01007066699094139,39,39,0,83,237
Deutsch-Jozsa,basic,Deutsch-Jozsa_45qubits_circuit0.qasm,45,0.0011996660032309592,0,0,0,6,137
Deutsch-Jozsa,basic,Deutsch-Jozsa_45qubits_circuit1.qasm,45,0.01203933299984783,44,44,0,92,266
Deutsch-Jozsa,basic,Deutsch-Jozsa_50qubits_circuit0.qasm,50,0.0013053750153630972,0,0,0,6,152
Deutsch-Jozsa,basic,Deutsch-Jozsa_50qubits_circuit1.qasm,50,0.013685665995581076,49,49,0,103,297
Deutsch-Jozsa,basic,Deutsch-Jozsa_55qubits_circuit0.qasm,55,0.0015010829956736416,0,0,0,6,167
Deutsch-Jozsa,basic,Deutsch-Jozsa_55qubits_circuit1.qasm,55,0.015362041012849659,54,54,0,113,326
Deutsch-Jozsa,basic,Deutsch-Jozsa_5qubits_circuit0.qasm,5,0.000587083020946011,0,0,0,5,16
Deutsch-Jozsa,basic,Deutsch-Jozsa_5qubits_circuit1.qasm,5,0.000770584010751918,4,4,0,13,26
Deutsch-Jozsa,basic,Deutsch-Jozsa_60qubits_circuit0.qasm,60,0.001676624990068376,0,0,0,5,181
Deutsch-Jozsa,basic,Deutsch-Jozsa_60qubits_circuit1.qasm,60,0.016838083014590666,59,59,0,123,357
Deutsch-Jozsa,basic,Deutsch-Jozsa_65qubits_circuit0.qasm,65,0.002028041984885931,0,0,0,5,196
Deutsch-Jozsa,basic,Deutsch-Jozsa_65qubits_circuit1.qasm,65,0.01739325001835823,64,64,0,133,386
Deutsch-Jozsa,basic,Deutsch-Jozsa_70qubits_circuit0.qasm,70,0.001889791019493714,0,0,0,6,212
Deutsch-Jozsa,basic,Deutsch-Jozsa_70qubits_circuit1.qasm,70,0.01954095799010247,69,69,0,143,417
Deutsch-Jozsa,basic,Deutsch-Jozsa_75qubits_circuit0.qasm,75,0.0020354579901322722,0,0,0,5,226
Deutsch-Jozsa,basic,Deutsch-Jozsa_75qubits_circuit1.qasm,75,0.021307458984665573,74,74,0,153,446
Deutsch-Jozsa,basic,Deutsch-Jozsa_80qubits_circuit0.qasm,80,0.002285624999785796,0,0,0,5,241
Deutsch-Jozsa,basic,Deutsch-Jozsa_80qubits_circuit1.qasm,80,0.022528208006406203,79,79,0,163,477
Deutsch-Jozsa,basic,Deutsch-Jozsa_85qubits_circuit0.qasm,85,0.009726916992804036,0,0,0,5,256
Deutsch-Jozsa,basic,Deutsch-Jozsa_85qubits_circuit1.qasm,85,0.023922541993670166,84,84,0,173,506
Deutsch-Jozsa,basic,Deutsch-Jozsa_90qubits_circuit0.qasm,90,0.0026188750052824616,0,0,0,5,271
Deutsch-Jozsa,basic,Deutsch-Jozsa_90qubits_circuit1.qasm,90,0.026996041007805616,89,89,0,183,537
Deutsch-Jozsa,basic,Deutsch-Jozsa_95qubits_circuit0.qasm,95,0.010886917007155716,0,0,0,5,286
Deutsch-Jozsa,basic,Deutsch-Jozsa_95qubits_circuit1.qasm,95,0.02826658298727125,94,94,0,193,566
