family,heuristic,file,num_qubits,runtime_sec,orig_cx,comp_cx,added_cx,depth,size
Deutsch-Jozsa,decay,Deutsch-Jozsa_100qubits_circuit0.qasm,100,0.002958791999844834,0,0,0,6,302
Deutsch-Jozsa,decay,Deutsch-Jozsa_100qubits_circuit1.qasm,100,0.030028499983018264,99,99,0,203,597
Deutsch-Jozsa,decay,Deutsch-Jozsa_10qubits_circuit0.qasm,10,0.0006141249905340374,0,0,0,6,32
Deutsch-Jozsa,decay,Deutsch-Jozsa_10qubits_circuit1.qasm,10,0.0026988750032614917,9,9,0,23,57
Deutsch-Jozsa,decay,Deutsch-Jozsa_15qubits_circuit0.qasm,15,0.0008030000026337802,0,0,0,6,47
Deutsch-Jozsa,decay,Deutsch-Jozsa_15qubits_circuit1.qasm,15,0.0029820420022588223,14,14,0,33,86
Deutsch-Jozsa,decay,Deutsch-Jozsa_20qubits_circuit0.qasm,20,0.0007636249938514084,0,0,0,5,61
Deutsch-Jozsa,decay,Deutsch-Jozsa_20qubits_circuit1.qasm,20,0.004363625019323081,19,19,0,43,117
Deutsch-Jozsa,decay,Deutsch-Jozsa_25qubits_circuit0.qasm,25,0.0008209579973481596,0,0,0,6,77
Deutsch-Jozsa,decay,Deutsch-Jozsa_25qubits_circuit1.qasm,25,0.0059622090193443,24,24,0,53,146
Deutsch-Jozsa,decay,Deutsch-Jozsa_30qubits_circuit0.qasm,30,0.0011237500002607703,0,0,0,6,92
Deutsch-Jozsa,decay,Deutsch-Jozsa_30qubits_circuit1.qasm,30,0.007321167009649798,29,29,0,62,177
Deutsch-Jozsa,decay,Deutsch-Jozsa_35qubits_circuit0.qasm,35,0.0009824160079006106,0,0,0,6,107
Deutsch-Jozsa,decay,Deutsch-Jozsa_35qubits_circuit1.qasm,35,0.008899749984266236,34,34,0,73,206
Deutsch-Jozsa,decay,Deutsch-Jozsa_40qubits_circuit0.qasm,40,0.0011218749859835953,0,0,0,6,122
Deutsch-Jozsa,decay,Deutsch-Jozsa_40qubits_circuit1.qasm,40,0.010407000023405999,39,39,0,83,237
Deutsch-Jozsa,decay,Deutsch-Jozsa_45qubits_circuit0.qasm,45,0.0012937909923493862,0,0,0,6,137
Deutsch-Jozsa,decay,Deutsch-Jozsa_45qubits_circuit1.qasm,45,0.011745207972126082,44,44,0,92,266
Deutsch-Jozsa,decay,Deutsch-Jozsa_50qubits_circuit0.qasm,50,0.0013177079963497818,0,0,0,6,152
Deutsch-Jozsa,decay,Deutsch-Jozsa_50qubits_circuit1.qasm,50,0.013502417015843093,49,49,0,103,297
Deutsch-Jozsa,decay,Deutsch-Jozsa_55qubits_circuit0.qasm,55,0.0014420000079553574,0,0,0,6,167
Deutsch-Jozsa,decay,Deutsch-Jozsa_55qubits_circuit1.qasm,55,0.01557358301943168,54,54,0,113,326
Deutsch-Jozsa,decay,Deutsch-Jozsa_5qubits_circuit0.qasm,5,0.0004948750138282776,0,0,0,5,16
Deutsch-Jozsa,decay,Deutsch-Jozsa_5qubits_circuit1.qasm,5,0.0007899159973021597,4,4,0,13,26
Deutsch-Jozsa,decay,Deutsch-Jozsa_60qubits_circuit0.qasm,60,0.0015229999844450504,0,0,0,5,181
Deutsch-Jozsa,decay,Deutsch-Jozsa_60qubits_circuit1.qasm,60,0.016848583007231355,59,59,0,123,357
Deutsch-Jozsa,decay,Deutsch-Jozsa_65qubits_circuit0.qasm,65,0.001706625014776364,0,0,0,5,196
Deutsch-Jozsa,decay,Deutsch-Jozsa_65qubits_circuit1.qasm,65,0.01809137500822544,64,64,0,133,386
Deutsch-Jozsa,decay,Deutsch-Jozsa_70qubits_circuit0.qasm,70,0.0018365419819019735,0,0,0,6,212
Deutsch-Jozsa,decay,Deutsch-Jozsa_70qubits_circuit1.qasm,70,0.019484541000565514,69,69,0,143,417
Deutsch-Jozsa,decay,Deutsch-Jozsa_75qubits_circuit0.qasm,75,0.0019797500281129032,0,0,0,5,226
Deutsch-Jozsa,decay,Deutsch-Jozsa_75qubits_circuit1.qasm,75,0.022254957992117852,74,74,0,153,446
Deutsch-Jozsa,decay,Deutsch-Jozsa_80qubits_circuit0.qasm,80,0.0022275419905781746,0,0,0,5,241
Deutsch-Jozsa,decay,Deutsch-Jozsa_80qubits_circuit1.qasm,80,0.02473283399012871,79,79,0,163,477
Deutsch-Jozsa,decay,Deutsch-Jozsa_85qubits_circuit0.qasm,85,0.0024162080080714077,0,0,0,5,256
Deutsch-Jozsa,decay,Deutsch-Jozsa_85qubits_circuit1.qasm,85,0.024643207987537608,84,84,0,173,506
Deutsch-Jozsa,decay,Deutsch-Jozsa_90qubits_circuit0.qasm,90,0.002474333014106378,0,0,0,5,271
Deutsch-Jozsa,decay,Deutsch-Jozsa_90qubits_circuit1.qasm,90,0.026461917004780844,89,89,0,183,537
Deutsch-Jozsa,decay,Deutsch-Jozsa_95qubits_circuit0.qasm,95,0.002846207993570715,0,0,0,5,286
Deutsch-Jozsa,decay,Deutsch-Jozsa_95qubits_circuit1.qasm,95,0.028315250005107373,94,94,0,193,566
