family,heuristic,file,num_qubits,runtime_sec,orig_cx,comp_cx,added_cx,depth,size
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_100qubits_circuit0.qasm,100,0.00291966600343585,0,0,0,6,302
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_100qubits_circuit1.qasm,100,0.030750750011065975,99,99,0,203,597
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_10qubits_circuit0.qasm,10,0.0005753750156145543,0,0,0,6,32
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_10qubits_circuit1.qasm,10,0.0018751250172499567,9,9,0,23,57
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_15qubits_circuit0.qasm,15,0.0006498750008177012,0,0,0,6,47
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_15qubits_circuit1.qasm,15,0.0030257090111263096,14,14,0,33,86
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_20qubits_circuit0.qasm,20,0.0007653339998796582,0,0,0,5,61
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_20qubits_circuit1.qasm,20,0.004263915994670242,19,19,0,43,117
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_25qubits_circuit0.qasm,25,0.0008202079916372895,0,0,0,6,77
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_25qubits_circuit1.qasm,25,0.005357874993933365,24,24,0,53,146
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_30qubits_circuit0.qasm,30,0.0008574169769417495,0,0,0,6,92
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_30qubits_circuit1.qasm,30,0.007158249994972721,29,29,0,62,177
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_35qubits_circuit0.qasm,35,0.0011801669897977263,0,0,0,6,107
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_35qubits_circuit1.qasm,35,0.008583791990531608,34,34,0,73,206
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_40qubits_circuit0.qasm,40,0.0012558749876916409,0,0,0,6,122
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_40qubits_circuit1.qasm,40,0.009994875028496608,39,39,0,83,237
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_45qubits_circuit0.qasm,45,0.0013163330149836838,0,0,0,6,137
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_45qubits_circuit1.qasm,45,0.011634583002887666,44,44,0,92,266
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_50qubits_circuit0.qasm,50,0.0014433329924941063,0,0,0,6,152
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_50qubits_circuit1.qasm,50,0.013572000025305897,49,49,0,103,297
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_55qubits_circuit0.qasm,55,0.0013724160089623183,0,0,0,6,167
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_55qubits_circuit1.qasm,55,0.01554366698837839,54,54,0,113,326
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_5qubits_circuit0.qasm,5,0.0005142090085428208,0,0,0,5,16
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_5qubits_circuit1.qasm,5,0.0007322499877773225,4,4,0,13,26
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_60qubits_circuit0.qasm,60,0.0016108329873532057,0,0,0,5,181
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_60qubits_circuit1.qasm,60,0.016103625006508082,59,59,0,123,357
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_65qubits_circuit0.qasm,65,0.001695832994300872,0,0,0,5,196
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_65qubits_circuit1.qasm,65,0.018040584021946415,64,64,0,133,386
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_70qubits_circuit0.qasm,70,0.001892957981908694,0,0,0,6,212
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_70qubits_circuit1.qasm,70,0.020527707994915545,69,69,0,143,417
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_75qubits_circuit0.qasm,75,0.0021497080160770565,0,0,0,5,226
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_75qubits_circuit1.qasm,75,0.02142041700426489,74,74,0,153,446
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_80qubits_circuit0.qasm,80,0.0022234579955693334,0,0,0,5,241
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_80qubits_circuit1.qasm,80,0.02280716600944288,79,79,0,163,477
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_85qubits_circuit0.qasm,85,0.0024800000246614218,0,0,0,5,256
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_85qubits_circuit1.qasm,85,0.024440540990326554,84,84,0,173,506
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_90qubits_circuit0.qasm,90,0.0025197089998982847,0,0,0,5,271
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_90qubits_circuit1.qasm,90,0.02600720798363909,89,89,0,183,537
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_95qubits_circuit0.qasm,95,0.002885958005208522,0,0,0,5,286
Deutsch-Jozsa,lookahead,Deutsch-Jozsa_95qubits_circuit1.qasm,95,0.029034499981207773,94,94,0,193,566
