family,file,num_qubits,runtime_sec,orig_cx,comp_cx,added_cx,depth,size
Bernstein-Vazirani,Bernstein-Vazirani_10qubits_circuit0.qasm,10,0.5565136669902131,2,2,0,5,31
Bernstein-Vazirani,Bernstein-Vazirani_10qubits_circuit1.qasm,10,0.20499291698797606,3,4,1,7,33
Bernstein-Vazirani,Bernstein-Vazirani_10qubits_circuit2.qasm,10,0.26251708398922347,4,8,4,11,37
Bernstein-Vazirani,Bernstein-Vazirani_15qubits_circuit0.qasm,15,0.3950853330024984,9,18,9,27,77
Bernstein-Vazirani,Bernstein-Vazirani_15qubits_circuit1.qasm,15,0.4155727500037756,8,34,26,37,84
Bernstein-Vazirani,Bernstein-Vazirani_15qubits_circuit2.qasm,15,0.4369305410073139,8,22,14,33,83
Bernstein-Vazirani,Bernstein-Vazirani_20qubits_circuit0.qasm,20,0.5178787499899045,5,15,10,18,80
Bernstein-Vazirani,Bernstein-Vazirani_20qubits_circuit1.qasm,20,0.579771916003665,10,20,10,31,99
Bernstein-Vazirani,Bernstein-Vazirani_20qubits_circuit2.qasm,20,0.6876094169856515,14,34,20,55,138
Bernstein-Vazirani,Bernstein-Vazirani_25qubits_circuit0.qasm,25,0.7754475419933442,11,59,48,67,148
Bernstein-Vazirani,Bernstein-Vazirani_25qubits_circuit1.qasm,25,0.8239324580063112,16,41,25,64,165
Bernstein-Vazirani,Bernstein-Vazirani_25qubits_circuit2.qasm,25,0.7207209579937626,10,23,13,32,117
Bernstein-Vazirani,Bernstein-Vazirani_30qubits_circuit0.qasm,30,1.2082323329814244,17,51,34,76,193
Bernstein-Vazirani,Bernstein-Vazirani_30qubits_circuit1.qasm,30,1.0288267500000075,13,42,29,64,171
Bernstein-Vazirani,Bernstein-Vazirani_30qubits_circuit2.qasm,30,1.0280811250268016,15,52,37,67,174
Bernstein-Vazirani,Bernstein-Vazirani_5qubits_circuit0.qasm,5,0.01861829200061038,1,1,0,4,15
Bernstein-Vazirani,Bernstein-Vazirani_5qubits_circuit1.qasm,5,0.01797883299877867,1,1,0,4,15
Bernstein-Vazirani,Bernstein-Vazirani_5qubits_circuit2.qasm,5,0.020381457987241447,2,2,0,5,16
