family,file,num_qubits,runtime_sec,orig_cx,comp_cx,added_cx,depth,size
Deutsch-Jozsa,Deutsch-Jozsa_100qubits_circuit0.qasm,100,0.31790716701652855,0,0,0,4,300
Deutsch-Jozsa,Deutsch-Jozsa_100qubits_circuit1.qasm,100,23.61982591598644,99,1028,929,838,1709
Deutsch-Jozsa,Deutsch-Jozsa_10qubits_circuit0.qasm,10,0.026854374998947605,0,0,0,4,30
Deutsch-Jozsa,Deutsch-Jozsa_10qubits_circuit1.qasm,10,0.3824714169895742,9,18,9,33,79
Deutsch-Jozsa,Deutsch-Jozsa_15qubits_circuit0.qasm,15,0.037923374999081716,0,0,0,4,45
Deutsch-Jozsa,Deutsch-Jozsa_15qubits_circuit1.qasm,15,0.7080209580017254,14,115,101,70,185
Deutsch-Jozsa,Deutsch-Jozsa_20qubits_circuit0.qasm,20,0.049311458016745746,0,0,0,3,59
Deutsch-Jozsa,Deutsch-Jozsa_20qubits_circuit1.qasm,20,1.2306806249835063,19,173,154,142,284
Deutsch-Jozsa,Deutsch-Jozsa_25qubits_circuit0.qasm,25,0.059987790999002755,0,0,0,4,75
Deutsch-Jozsa,Deutsch-Jozsa_25qubits_circuit1.qasm,25,1.4265219999942929,24,152,128,155,311
Deutsch-Jozsa,Deutsch-Jozsa_30qubits_circuit0.qasm,30,0.07207287501660176,0,0,0,4,90
Deutsch-Jozsa,Deutsch-Jozsa_30qubits_circuit1.qasm,30,1.569279708986869,29,62,33,107,272
Deutsch-Jozsa,Deutsch-Jozsa_35qubits_circuit0.qasm,35,0.11614604198257439,0,0,0,4,105
Deutsch-Jozsa,Deutsch-Jozsa_35qubits_circuit1.qasm,35,2.06731037501595,34,68,34,125,336
Deutsch-Jozsa,Deutsch-Jozsa_40qubits_circuit0.qasm,40,0.0982395839819219,0,0,0,4,120
Deutsch-Jozsa,Deutsch-Jozsa_40qubits_circuit1.qasm,40,3.711194292001892,39,319,280,326,566
Deutsch-Jozsa,Deutsch-Jozsa_45qubits_circuit0.qasm,45,0.1395949580182787,0,0,0,4,135
Deutsch-Jozsa,Deutsch-Jozsa_45qubits_circuit1.qasm,45,3.62186912499601,44,142,98,198,460
Deutsch-Jozsa,Deutsch-Jozsa_50qubits_circuit0.qasm,50,0.12290916600613855,0,0,0,4,150
Deutsch-Jozsa,Deutsch-Jozsa_50qubits_circuit1.qasm,50,4.295077999995556,49,229,180,253,604
Deutsch-Jozsa,Deutsch-Jozsa_55qubits_circuit0.qasm,55,0.1764559999865014,0,0,0,4,165
Deutsch-Jozsa,Deutsch-Jozsa_55qubits_circuit1.qasm,55,4.970260458008852,54,106,52,205,544
Deutsch-Jozsa,Deutsch-Jozsa_5qubits_circuit0.qasm,5,0.015125042002182454,0,0,0,3,14
Deutsch-Jozsa,Deutsch-Jozsa_5qubits_circuit1.qasm,5,0.13451145801809616,4,8,4,16,32
Deutsch-Jozsa,Deutsch-Jozsa_60qubits_circuit0.qasm,60,0.1532285419816617,0,0,0,3,179
Deutsch-Jozsa,Deutsch-Jozsa_60qubits_circuit1.qasm,60,7.8572672919835895,59,574,515,472,952
Deutsch-Jozsa,Deutsch-Jozsa_65qubits_circuit0.qasm,65,0.1701337909908034,0,0,0,3,194
Deutsch-Jozsa,Deutsch-Jozsa_65qubits_circuit1.qasm,65,9.314683000004152,64,702,638,529,1120
Deutsch-Jozsa,Deutsch-Jozsa_70qubits_circuit0.qasm,70,0.1891953750164248,0,0,0,4,210
Deutsch-Jozsa,Deutsch-Jozsa_70qubits_circuit1.qasm,70,11.40048549999483,69,1078,1009,634,1537
Deutsch-Jozsa,Deutsch-Jozsa_75qubits_circuit0.qasm,75,0.20624245799263008,0,0,0,3,224
Deutsch-Jozsa,Deutsch-Jozsa_75qubits_circuit1.qasm,75,12.78088962502079,74,685,611,638,1221
Deutsch-Jozsa,Deutsch-Jozsa_80qubits_circuit0.qasm,80,0.23230412500561215,0,0,0,3,239
Deutsch-Jozsa,Deutsch-Jozsa_80qubits_circuit1.qasm,80,12.81305466601043,79,628,549,457,1164
Deutsch-Jozsa,Deutsch-Jozsa_85qubits_circuit0.qasm,85,0.24401187500916421,0,0,0,3,254
Deutsch-Jozsa,Deutsch-Jozsa_85qubits_circuit1.qasm,85,12.83314266699017,84,433,349,435,1056
Deutsch-Jozsa,Deutsch-Jozsa_90qubits_circuit0.qasm,90,0.26518245800980367,0,0,0,3,269
Deutsch-Jozsa,Deutsch-Jozsa_90qubits_circuit1.qasm,90,20.989776458998676,89,1226,1137,791,1814
Deutsch-Jozsa,Deutsch-Jozsa_95qubits_circuit0.qasm,95,0.2922235419973731,0,0,0,3,284
Deutsch-Jozsa,Deutsch-Jozsa_95qubits_circuit1.qasm,95,20.336906916985754,94,1086,992,838,1700
